Date,Year,Gold_24K_1gm_INR,Gold_24K_10gm_INR,Gold_916_1gm_INR,Gold_916_10gm_INR
2000-04-13,2000,543.42,5434.16,497.77,4977.69
2000-04-14,2000,542.67,5426.69,497.09,4970.85
2000-04-15,2000,556.77,5567.66,510.0,5099.98
2000-04-16,2000,548.11,5481.07,502.07,5020.66
2000-04-17,2000,553.15,5531.47,506.68,5066.82
2000-04-18,2000,540.11,5401.14,494.74,4947.45
2000-04-19,2000,546.4,5463.96,500.5,5004.99
2000-04-20,2000,554.66,5546.58,508.07,5080.67
2000-04-21,2000,552.54,5525.44,506.13,5061.31
2000-04-22,2000,545.55,5455.49,499.72,4997.23
2000-04-23,2000,558.15,5581.47,511.26,5112.63
2000-04-24,2000,558.27,5582.68,511.37,5113.73
2000-04-25,2000,565.52,5655.21,518.02,5180.17
2000-04-26,2000,566.4,5664.04,518.83,5188.26
2000-04-27,2000,554.46,5544.65,507.89,5078.9
2000-04-28,2000,567.45,5674.55,519.79,5197.89
2000-04-29,2000,557.58,5575.79,510.74,5107.42
2000-04-30,2000,561.79,5617.93,514.6,5146.03
2000-05-01,2000,564.32,5643.21,516.92,5169.18
2000-05-02,2000,556.46,5564.63,509.72,5097.2
2000-05-03,2000,564.77,5647.69,517.33,5173.29
2000-05-04,2000,553.08,5530.77,506.62,5066.18
2000-05-05,2000,565.62,5656.19,518.11,5181.07
2000-05-06,2000,572.54,5725.37,524.44,5244.44
2000-05-07,2000,568.89,5688.86,521.1,5211.0
2000-05-08,2000,581.01,5810.06,532.2,5322.02
2000-05-09,2000,564.92,5649.25,517.47,5174.71
2000-05-10,2000,573.42,5734.16,525.25,5252.5
2000-05-11,2000,567.85,5678.52,520.15,5201.52
2000-05-12,2000,581.96,5819.6,533.08,5330.76
2000-05-13,2000,561.23,5612.28,514.08,5140.85
2000-05-14,2000,575.21,5752.12,526.89,5268.94
2000-05-15,2000,567.84,5678.36,520.14,5201.38
2000-05-16,2000,573.5,5734.98,525.32,5253.24
2000-05-17,2000,580.65,5806.53,531.88,5318.78
2000-05-18,2000,582.02,5820.22,533.13,5331.32
2000-05-19,2000,590.32,5903.24,540.74,5407.37
2000-05-20,2000,572.33,5723.28,524.25,5242.52
2000-05-21,2000,581.75,5817.54,532.89,5328.86
2000-05-22,2000,582.59,5825.91,533.65,5336.53
2000-05-23,2000,581.93,5819.3,533.05,5330.48
2000-05-24,2000,582.8,5827.98,533.84,5338.43
2000-05-25,2000,588.1,5880.98,538.7,5386.98
2000-05-26,2000,593.1,5930.99,543.28,5432.79
2000-05-27,2000,579.31,5793.08,530.65,5306.46
2000-05-28,2000,591.71,5917.12,542.01,5420.08
2000-05-29,2000,599.09,5990.9,548.77,5487.66
2000-05-30,2000,589.39,5893.93,539.88,5398.84
2000-05-31,2000,593.84,5938.4,543.96,5439.57
2000-06-01,2000,585.16,5851.59,536.01,5360.06
2000-06-02,2000,600.12,6001.2,549.71,5497.1
2000-06-03,2000,598.13,5981.31,547.89,5478.88
2000-06-04,2000,592.96,5929.65,543.16,5431.56
2000-06-05,2000,607.41,6074.07,556.38,5563.85
2000-06-06,2000,592.48,5924.78,542.71,5427.1
2000-06-07,2000,607.29,6072.93,556.28,5562.8
2000-06-08,2000,605.31,6053.12,554.47,5544.66
2000-06-09,2000,597.92,5979.24,547.7,5476.98
2000-06-10,2000,601.39,6013.88,550.87,5508.72
2000-06-11,2000,610.98,6109.84,559.66,5596.61
2000-06-12,2000,602.17,6021.67,551.59,5515.85
2000-06-13,2000,616.45,6164.5,564.67,5646.69
2000-06-14,2000,609.03,6090.26,557.87,5578.68
2000-06-15,2000,608.53,6085.33,557.42,5574.17
2000-06-16,2000,612.68,6126.8,561.21,5612.15
2000-06-17,2000,606.63,6066.35,555.68,5556.77
2000-06-18,2000,613.94,6139.44,562.37,5623.73
2000-06-19,2000,604.19,6041.87,553.44,5534.36
2000-06-20,2000,612.49,6124.89,561.04,5610.39
2000-06-21,2000,615.94,6159.36,564.2,5641.97
2000-06-22,2000,620.94,6209.43,568.78,5687.84
2000-06-23,2000,615.19,6151.9,563.51,5635.14
2000-06-24,2000,629.05,6290.47,576.21,5762.07
2000-06-25,2000,612.22,6122.23,560.8,5607.97
2000-06-26,2000,614.58,6145.77,562.95,5629.53
2000-06-27,2000,623.87,6238.66,571.46,5714.61
2000-06-28,2000,634.34,6343.44,581.06,5810.59
2000-06-29,2000,623.46,6234.64,571.09,5710.93
2000-06-30,2000,635.1,6350.96,581.75,5817.48
2000-07-01,2000,634.97,6349.67,581.63,5816.29
2000-07-02,2000,624.68,6246.77,572.2,5722.04
2000-07-03,2000,626.89,6268.86,574.23,5742.27
2000-07-04,2000,639.25,6392.46,585.55,5855.49
2000-07-05,2000,633.52,6335.18,580.3,5803.03
2000-07-06,2000,638.03,6380.32,584.44,5844.37
2000-07-07,2000,645.49,6454.86,591.26,5912.65
2000-07-08,2000,631.37,6313.69,578.33,5783.34
2000-07-09,2000,631.02,6310.23,578.02,5780.17
2000-07-10,2000,629.74,6297.37,576.84,5768.39
2000-07-11,2000,637.52,6375.18,583.97,5839.67
2000-07-12,2000,631.84,6318.4,578.77,5787.65
2000-07-13,2000,633.01,6330.06,579.83,5798.33
2000-07-14,2000,648.68,6486.84,594.19,5941.95
2000-07-15,2000,632.13,6321.28,579.03,5790.29
2000-07-16,2000,638.34,6383.41,584.72,5847.21
2000-07-17,2000,651.52,6515.19,596.79,5967.91
2000-07-18,2000,642.97,6429.65,588.96,5889.56
2000-07-19,2000,632.75,6327.48,579.6,5795.97
2000-07-20,2000,649.11,6491.09,594.58,5945.84
2000-07-21,2000,657.32,6573.19,602.1,6021.05
2000-07-22,2000,646.18,6461.83,591.9,5919.04
2000-07-23,2000,640.0,6400.04,586.24,5862.44
2000-07-24,2000,635.41,6354.09,582.03,5820.35
2000-07-25,2000,644.75,6447.5,590.59,5905.91
2000-07-26,2000,656.05,6560.47,600.94,6009.39
2000-07-27,2000,666.99,6669.92,610.97,6109.65
2000-07-28,2000,650.08,6500.75,595.47,5954.69
2000-07-29,2000,665.99,6659.9,610.05,6100.47
2000-07-30,2000,650.1,6500.96,595.49,5954.88
2000-07-31,2000,654.09,6540.92,599.15,5991.48
2000-08-01,2000,659.46,6594.62,604.07,6040.67
2000-08-02,2000,656.09,6560.94,600.98,6009.82
2000-08-03,2000,661.94,6619.38,606.33,6063.35
2000-08-04,2000,654.91,6549.06,599.89,5998.94
2000-08-05,2000,666.91,6669.1,610.89,6108.9
2000-08-06,2000,681.15,6811.47,623.93,6239.31
2000-08-07,2000,663.51,6635.07,607.77,6077.72
2000-08-08,2000,656.7,6566.95,601.53,6015.33
2000-08-09,2000,666.73,6667.26,610.72,6107.21
2000-08-10,2000,664.36,6643.59,608.55,6085.53
2000-08-11,2000,673.32,6733.22,616.76,6167.63
2000-08-12,2000,662.36,6623.55,606.72,6067.17
2000-08-13,2000,661.98,6619.84,606.38,6063.77
2000-08-14,2000,674.3,6742.98,617.66,6176.57
2000-08-15,2000,665.75,6657.54,609.83,6098.31
2000-08-16,2000,679.44,6794.41,622.37,6223.68
2000-08-17,2000,672.89,6728.92,616.37,6163.69
2000-08-18,2000,678.41,6784.1,621.42,6214.23
2000-08-19,2000,662.37,6623.73,606.73,6067.33
2000-08-20,2000,686.09,6860.87,628.46,6284.56
2000-08-21,2000,672.69,6726.88,616.18,6161.82
2000-08-22,2000,690.83,6908.35,632.8,6328.04
2000-08-23,2000,691.88,6918.77,633.76,6337.59
2000-08-24,2000,670.19,6701.9,613.89,6138.94
2000-08-25,2000,679.64,6796.44,622.55,6225.54
2000-08-26,2000,678.93,6789.33,621.9,6219.03
2000-08-27,2000,681.53,6815.31,624.28,6242.83
2000-08-28,2000,685.12,6851.23,627.57,6275.72
2000-08-29,2000,681.94,6819.43,624.66,6246.6
2000-08-30,2000,688.09,6880.87,630.29,6302.88
2000-08-31,2000,684.07,6840.68,626.61,6266.06
2000-09-01,2000,674.28,6742.78,617.64,6176.39
2000-09-02,2000,674.3,6743.05,617.66,6176.63
2000-09-03,2000,695.63,6956.29,637.2,6371.96
2000-09-04,2000,696.92,6969.18,638.38,6383.76
2000-09-05,2000,701.19,7011.91,642.29,6422.91
2000-09-06,2000,687.91,6879.11,630.13,6301.27
2000-09-07,2000,689.55,6895.53,631.63,6316.31
2000-09-08,2000,698.52,6985.15,639.84,6398.4
2000-09-09,2000,697.65,6976.48,639.05,6390.45
2000-09-10,2000,699.38,6993.78,640.63,6406.3
2000-09-11,2000,697.73,6977.3,639.12,6391.21
2000-09-12,2000,697.81,6978.05,639.19,6391.9
2000-09-13,2000,701.92,7019.18,642.96,6429.57
2000-09-14,2000,701.17,7011.65,642.27,6422.67
2000-09-15,2000,709.1,7091.03,649.54,6495.38
2000-09-16,2000,707.52,7075.19,648.09,6480.88
2000-09-17,2000,712.13,7121.33,652.31,6523.14
2000-09-18,2000,719.96,7199.56,659.48,6594.79
2000-09-19,2000,701.86,7018.6,642.9,6429.04
2000-09-20,2000,703.5,7034.97,644.4,6444.04
2000-09-21,2000,701.93,7019.29,642.97,6429.67
2000-09-22,2000,711.15,7111.5,651.41,6514.13
2000-09-23,2000,710.52,7105.22,650.84,6508.38
2000-09-24,2000,719.1,7191.01,658.7,6586.96
2000-09-25,2000,709.85,7098.46,650.22,6502.19
2000-09-26,2000,714.31,7143.09,654.31,6543.07
2000-09-27,2000,705.09,7050.88,645.86,6458.61
2000-09-28,2000,712.73,7127.26,652.86,6528.57
2000-09-29,2000,731.36,7313.57,669.92,6699.23
2000-09-30,2000,718.89,7188.94,658.51,6585.07
2000-10-01,2000,713.06,7130.63,653.17,6531.66
2000-10-02,2000,717.14,7171.44,656.9,6569.04
2000-10-03,2000,731.94,7319.39,670.46,6704.56
2000-10-04,2000,720.11,7201.11,659.62,6596.21
2000-10-05,2000,716.15,7161.46,655.99,6559.9
2000-10-06,2000,725.94,7259.36,664.96,6649.57
2000-10-07,2000,708.13,7081.3,648.65,6486.47
2000-10-08,2000,734.3,7342.97,672.62,6726.16
2000-10-09,2000,726.15,7261.48,665.15,6651.52
2000-10-10,2000,732.94,7329.36,671.37,6713.7
2000-10-11,2000,730.22,7302.17,668.88,6688.79
2000-10-12,2000,740.16,7401.59,677.99,6779.86
2000-10-13,2000,732.9,7328.96,671.33,6713.32
2000-10-14,2000,722.04,7220.37,661.39,6613.86
2000-10-15,2000,738.64,7386.45,676.6,6765.99
2000-10-16,2000,730.32,7303.17,668.97,6689.7
2000-10-17,2000,738.89,7388.91,676.82,6768.24
2000-10-18,2000,737.86,7378.62,675.88,6758.81
2000-10-19,2000,737.04,7370.42,675.13,6751.3
2000-10-20,2000,742.8,7428.02,680.41,6804.07
2000-10-21,2000,738.77,7387.71,676.71,6767.14
2000-10-22,2000,730.8,7307.97,669.41,6694.1
2000-10-23,2000,741.87,7418.74,679.56,6795.57
2000-10-24,2000,743.48,7434.79,681.03,6810.27
2000-10-25,2000,754.3,7543.0,690.94,6909.39
2000-10-26,2000,748.2,7481.96,685.35,6853.48
2000-10-27,2000,757.4,7574.01,693.78,6937.8
2000-10-28,2000,744.11,7441.07,681.6,6816.02
2000-10-29,2000,742.12,7421.19,679.78,6797.81
2000-10-30,2000,738.8,7387.99,676.74,6767.4
2000-10-31,2000,744.41,7444.05,681.88,6818.75
2000-11-01,2000,753.46,7534.6,690.17,6901.7
2000-11-02,2000,751.65,7516.46,688.51,6885.08
2000-11-03,2000,753.69,7536.88,690.38,6903.78
2000-11-04,2000,757.98,7579.79,694.31,6943.09
2000-11-05,2000,746.66,7466.65,683.94,6839.45
2000-11-06,2000,759.38,7593.77,695.59,6955.9
2000-11-07,2000,751.68,7516.81,688.54,6885.39
2000-11-08,2000,763.31,7633.09,699.19,6991.91
2000-11-09,2000,753.67,7536.74,690.37,6903.66
2000-11-10,2000,769.95,7699.48,705.27,7052.73
2000-11-11,2000,747.48,7474.82,684.69,6846.94
2000-11-12,2000,769.88,7698.84,705.21,7052.14
2000-11-13,2000,763.1,7631.02,699.0,6990.02
2000-11-14,2000,768.74,7687.36,704.16,7041.63
2000-11-15,2000,749.6,7496.02,686.64,6866.36
2000-11-16,2000,763.75,7637.45,699.59,6995.91
2000-11-17,2000,770.74,7707.39,706.0,7059.97
2000-11-18,2000,767.34,7673.39,702.88,7028.83
2000-11-19,2000,781.04,7810.41,715.43,7154.34
2000-11-20,2000,759.57,7595.65,695.76,6957.62
2000-11-21,2000,767.07,7670.69,702.64,7026.35
2000-11-22,2000,772.29,7722.85,707.41,7074.14
2000-11-23,2000,770.93,7709.35,706.18,7061.76
2000-11-24,2000,774.97,7749.69,709.87,7098.72
2000-11-25,2000,781.2,7811.96,715.58,7155.76
2000-11-26,2000,775.55,7755.54,710.41,7104.07
2000-11-27,2000,777.07,7770.69,711.8,7117.96
2000-11-28,2000,772.5,7725.03,707.61,7076.12
2000-11-29,2000,761.59,7615.94,697.62,6976.2
2000-11-30,2000,788.67,7886.69,722.42,7224.21
2000-12-01,2000,791.92,7919.19,725.4,7253.97
2000-12-02,2000,772.82,7728.17,707.9,7079.01
2000-12-03,2000,785.32,7853.17,719.35,7193.5
2000-12-04,2000,782.46,7824.61,716.73,7167.34
2000-12-05,2000,786.16,7861.57,720.12,7201.2
2000-12-06,2000,801.52,8015.21,734.19,7341.93
2000-12-07,2000,780.25,7802.51,714.71,7147.1
2000-12-08,2000,779.89,7798.86,714.38,7143.75
2000-12-09,2000,787.63,7876.3,721.47,7214.69
2000-12-10,2000,781.46,7814.6,715.82,7158.17
2000-12-11,2000,797.54,7975.37,730.54,7305.44
2000-12-12,2000,806.44,8064.4,738.7,7386.99
2000-12-13,2000,778.52,7785.18,713.12,7131.22
2000-12-14,2000,782.78,7827.79,717.03,7170.26
2000-12-15,2000,791.62,7916.16,725.12,7251.21
2000-12-16,2000,784.94,7849.39,719.0,7190.04
2000-12-17,2000,797.92,7979.24,730.9,7308.98
2000-12-18,2000,809.15,8091.48,741.18,7411.79
2000-12-19,2000,809.08,8090.81,741.12,7411.18
2000-12-20,2000,807.27,8072.66,739.46,7394.56
2000-12-21,2000,802.62,8026.16,735.2,7351.96
2000-12-22,2000,806.19,8061.91,738.47,7384.71
2000-12-23,2000,809.57,8095.65,741.56,7415.62
2000-12-24,2000,811.16,8111.65,743.03,7430.27
2000-12-25,2000,796.85,7968.51,729.92,7299.15
2000-12-26,2000,809.86,8098.55,741.83,7418.28
2000-12-27,2000,821.1,8210.97,752.12,7521.25
2000-12-28,2000,794.3,7942.98,727.58,7275.77
2000-12-29,2000,801.2,8011.98,733.9,7338.97
2000-12-30,2000,813.35,8133.48,745.03,7450.26
2000-12-31,2000,808.72,8087.18,740.79,7407.86
2001-01-01,2001,803.07,8030.7,735.61,7356.12
2001-01-02,2001,819.88,8198.8,751.01,7510.1
2001-01-03,2001,828.27,8282.71,758.7,7586.97
2001-01-04,2001,813.4,8133.99,745.07,7450.73
2001-01-05,2001,814.4,8144.02,745.99,7459.92
2001-01-06,2001,799.35,7993.53,732.21,7322.08
2001-01-07,2001,827.33,8273.28,757.83,7578.32
2001-01-08,2001,824.84,8248.36,755.55,7555.5
2001-01-09,2001,819.18,8191.84,750.37,7503.72
2001-01-10,2001,818.83,8188.26,750.04,7500.45
2001-01-11,2001,806.75,8067.54,738.99,7389.87
2001-01-12,2001,835.82,8358.25,765.62,7656.15
2001-01-13,2001,836.53,8365.35,766.27,7662.66
2001-01-14,2001,835.18,8351.75,765.02,7650.21
2001-01-15,2001,833.25,8332.54,763.26,7632.61
2001-01-16,2001,845.43,8454.32,774.42,7744.16
2001-01-17,2001,826.49,8264.94,757.07,7570.68
2001-01-18,2001,832.48,8324.76,762.55,7625.48
2001-01-19,2001,826.73,8267.3,757.28,7572.84
2001-01-20,2001,834.35,8343.53,764.27,7642.67
2001-01-21,2001,839.42,8394.19,768.91,7689.07
2001-01-22,2001,836.99,8369.89,766.68,7666.82
2001-01-23,2001,837.15,8371.51,766.83,7668.31
2001-01-24,2001,834.97,8349.65,764.83,7648.28
2001-01-25,2001,859.02,8590.16,786.86,7868.59
2001-01-26,2001,829.78,8297.84,760.08,7600.82
2001-01-27,2001,842.82,8428.16,772.02,7720.2
2001-01-28,2001,833.66,8336.56,763.63,7636.29
2001-01-29,2001,839.21,8392.08,768.71,7687.15
2001-01-30,2001,842.65,8426.55,771.87,7718.72
2001-01-31,2001,858.71,8587.08,786.58,7865.77
2001-02-01,2001,844.13,8441.33,773.23,7732.26
2001-02-02,2001,850.46,8504.6,779.02,7790.21
2001-02-03,2001,846.38,8463.76,775.28,7752.81
2001-02-04,2001,849.31,8493.09,777.97,7779.67
2001-02-05,2001,852.96,8529.58,781.31,7813.1
2001-02-06,2001,851.56,8515.57,780.03,7800.26
2001-02-07,2001,864.56,8645.64,791.94,7919.41
2001-02-08,2001,842.49,8424.86,771.72,7717.18
2001-02-09,2001,849.77,8497.66,778.39,7783.86
2001-02-10,2001,856.25,8562.47,784.32,7843.22
2001-02-11,2001,849.17,8491.74,777.84,7778.43
2001-02-12,2001,842.49,8424.89,771.72,7717.2
2001-02-13,2001,853.1,8530.97,781.44,7814.37
2001-02-14,2001,857.59,8575.88,785.55,7855.51
2001-02-15,2001,848.86,8488.63,777.56,7775.59
2001-02-16,2001,870.41,8704.07,797.29,7972.93
2001-02-17,2001,862.22,8622.2,789.79,7897.93
2001-02-18,2001,852.95,8529.5,781.3,7813.02
2001-02-19,2001,869.3,8693.04,796.28,7962.83
2001-02-20,2001,874.46,8744.6,801.01,8010.06
2001-02-21,2001,869.45,8694.51,796.42,7964.17
2001-02-22,2001,880.21,8802.12,806.27,8062.74
2001-02-23,2001,864.84,8648.45,792.2,7921.98
2001-02-24,2001,856.93,8569.3,784.95,7849.48
2001-02-25,2001,879.46,8794.64,805.59,8055.89
2001-02-26,2001,859.63,8596.32,787.42,7874.23
2001-02-27,2001,864.89,8648.85,792.24,7922.35
2001-02-28,2001,873.17,8731.68,799.82,7998.22
2001-03-01,2001,867.09,8670.87,794.25,7942.52
2001-03-02,2001,885.26,8852.63,810.9,8109.01
2001-03-03,2001,868.97,8689.7,795.98,7959.77
2001-03-04,2001,876.91,8769.12,803.25,8032.52
2001-03-05,2001,896.18,8961.79,820.9,8209.0
2001-03-06,2001,904.48,9044.82,828.51,8285.06
2001-03-07,2001,881.49,8814.87,807.44,8074.42
2001-03-08,2001,883.53,8835.31,809.31,8093.14
2001-03-09,2001,883.27,8832.68,809.07,8090.74
2001-03-10,2001,878.0,8779.97,804.24,8042.45
2001-03-11,2001,882.27,8822.67,808.16,8081.57
2001-03-12,2001,872.05,8720.5,798.8,7987.98
2001-03-13,2001,881.27,8812.75,807.25,8072.48
2001-03-14,2001,893.24,8932.4,818.21,8182.08
2001-03-15,2001,885.97,8859.71,811.55,8115.5
2001-03-16,2001,880.64,8806.41,806.67,8066.68
2001-03-17,2001,897.01,8970.1,821.66,8216.61
2001-03-18,2001,896.42,8964.16,821.12,8211.17
2001-03-19,2001,884.35,8843.46,810.06,8100.61
2001-03-20,2001,899.04,8990.4,823.52,8235.21
2001-03-21,2001,892.15,8921.49,817.21,8172.08
2001-03-22,2001,903.91,9039.07,827.98,8279.79
2001-03-23,2001,892.83,8928.29,817.83,8178.31
2001-03-24,2001,890.48,8904.85,815.68,8156.84
2001-03-25,2001,894.03,8940.3,818.93,8189.31
2001-03-26,2001,895.26,8952.6,820.06,8200.59
2001-03-27,2001,898.82,8988.24,823.32,8233.23
2001-03-28,2001,898.61,8986.12,823.13,8231.29
2001-03-29,2001,919.69,9196.92,842.44,8424.38
2001-03-30,2001,904.93,9049.34,828.92,8289.2
2001-03-31,2001,899.77,8997.65,824.19,8241.85
2001-04-01,2001,897.68,8976.81,822.28,8222.76
2001-04-02,2001,900.25,9002.51,824.63,8246.3
2001-04-03,2001,916.32,9163.24,839.35,8393.52
2001-04-04,2001,907.71,9077.13,831.47,8314.66
2001-04-05,2001,913.89,9138.94,837.13,8371.27
2001-04-06,2001,888.82,8888.16,814.16,8141.55
2001-04-07,2001,927.36,9273.62,849.46,8494.64
2001-04-08,2001,912.4,9124.03,835.76,8357.61
2001-04-09,2001,920.52,9205.2,843.2,8431.96
2001-04-10,2001,911.0,9109.98,834.47,8344.74
2001-04-11,2001,923.62,9236.19,846.04,8460.35
2001-04-12,2001,917.08,9170.83,840.05,8400.48
2001-04-13,2001,918.15,9181.47,841.02,8410.22
2001-04-14,2001,896.01,8960.08,820.74,8207.43
2001-04-15,2001,923.44,9234.38,845.87,8458.69
2001-04-16,2001,920.36,9203.62,843.05,8430.52
2001-04-17,2001,899.9,8998.97,824.31,8243.06
2001-04-18,2001,914.8,9147.98,837.95,8379.55
2001-04-19,2001,918.02,9180.15,840.9,8409.02
2001-04-20,2001,939.0,9390.0,860.12,8601.24
2001-04-21,2001,918.47,9184.69,841.32,8413.17
2001-04-22,2001,934.3,9343.05,855.82,8558.23
2001-04-23,2001,916.54,9165.41,839.55,8395.51
2001-04-24,2001,943.97,9439.72,864.68,8646.78
2001-04-25,2001,925.29,9252.91,847.57,8475.67
2001-04-26,2001,938.71,9387.1,859.86,8598.59
2001-04-27,2001,945.3,9452.99,865.89,8658.93
2001-04-28,2001,930.26,9302.6,852.12,8521.18
2001-04-29,2001,934.86,9348.56,856.33,8563.28
2001-04-30,2001,945.78,9457.8,866.33,8663.35
2001-05-01,2001,935.04,9350.38,856.49,8564.95
2001-05-02,2001,934.71,9347.13,856.2,8561.97
2001-05-03,2001,940.47,9404.69,861.47,8614.7
2001-05-04,2001,947.3,9473.0,867.73,8677.27
2001-05-05,2001,951.1,9510.98,871.21,8712.06
2001-05-06,2001,945.97,9459.67,866.51,8665.06
2001-05-07,2001,925.62,9256.19,847.87,8478.67
2001-05-08,2001,949.33,9493.34,869.59,8695.9
2001-05-09,2001,944.02,9440.23,864.72,8647.25
